author;date;title;url;views;game;game_type
Krissotep;2023-09-14 19:12:00;Stellaris, carnet des développeurs n°313 : 3.9 'Caelum' est sorti, prochaine étape?;https://www.mundusbellicus.fr/624432-stellaris-carnet-des-developpeurs-313-3-9-caelum-est-sorti-prochaine-etape;289;Stellaris;Grande Stratégie
Krissotep;2023-09-06 17:02:00;Stellaris, carnet des développeurs n°312 : 3.9 'Caelum' Patch Notes;https://www.mundusbellicus.fr/624404-stellaris-carnet-des-développeurs-312-3-9-caelum-patch-notes;420;Stellaris;Grande Stratégie
Krissotep;2023-08-31 20:30:00;Stellaris, carnet des développeurs n°311 : Ciseler loin;https://www.mundusbellicus.fr/624378-stellaris-carnet-des-developpeurs-311-ciseler-loin;319;Stellaris;Grande Stratégie
Limse;2023-08-29 19:15:00;Victoria 3 - Sortie de «l'Aube des Merveilles » et du Patch 1.4;https://www.mundusbellicus.fr/624363-victoria-3-sortie-de-l-aube-des-merveilles-et-du-patch-1-4;568;Victoria 3;Grande Stratégie
Lynx;2023-08-25 21:55:00;WAR AND PEACE, un grand stratégique à l'ère de l'épopée napoléonienne.;https://www.mundusbellicus.fr/624342-war-and-peace-un-grand-stratégique-à-l-ère-de-l-épopée-napoléonienne;784;WAR AND PEACE;Grande Stratégie
Krissotep;2023-08-24 16:41:00;Stellaris, carnet des développeurs n°310 : Questions de vie ou de mort;https://www.mundusbellicus.fr/624332-stellaris-carnet-des-developpeurs-310-questions-de-vie-ou-de-mort;416;Stellaris;Grande Stratégie
Ancient Egypt Fan;2023-08-24 00:47:00;Dynasty of the Sands - Carnet de développement #2;https://www.mundusbellicus.fr/624321-dynasty-of-the-sands-carnet-de-developpement-2;92;Dynasty of the Sands;Gestion
Krissotep;2023-08-17 14:47:00;Stellaris, carnet des développeurs n°309 : Ok, Bloomer;https://www.mundusbellicus.fr/624273-stellaris-carnet-des-developpeurs-309-ok-bloomer;366;Stellaris;Grande Stratégie
Foeurdr;2023-08-16 17:50:00;En Garde !;https://www.mundusbellicus.fr/624267-en-garde;235;En Garde !;
Mouchi;2023-08-15 15:40:00;Crusader Kings 3 : L'art de Wards and Warden;https://www.mundusbellicus.fr/624259-crusader-kings-3-l-art-de-wards-and-warden;505;Crusader Kings 3;Grande Stratégie
Foeurdr;2023-08-13 23:29:00;Xenonauts-2;https://www.mundusbellicus.fr/624252-xenonauts-2;289;Xenonauts-2;
Krissotep;2023-08-10 21:03:00;Stellaris, carnet des développeurs n°308 : Rock On !;https://www.mundusbellicus.fr/624248-stellaris-carnet-des-developpeurs-308-rock-on;320;Stellaris;Grande Stratégie
Mouchi;2023-08-08 17:55:00;Crusader Kings 3 : Nourrices;https://www.mundusbellicus.fr/624243-crusader-kings-3-nourrices;601;Crusader Kings 3;Grande Stratégie
Ancient Egypt Fan;2023-08-06 23:33:00;Builders of Egypt - Carnet de Développement #47 - #48;https://www.mundusbellicus.fr/624235-builders-of-egypt-carnet-de-developpement-47-48;114;Builders of Egypt;Gestion
Ancient Egypt Fan;2023-08-03 20:38:00;Total War: PHARAOH - Carnet de développement #3;https://www.mundusbellicus.fr/624230-total-war-pharaoh-carnet-de-developpement-3;393;Total War Pharaoh;Total War
