title;url;author;date;views;game;game_type
Crusader Kings 3 : Un tour de votre Cour Royale (interface);https://www.mundusbellicus.fr/605426-crusader-kings-3-un-tour-de-votre-cour-royale-interface;Mouchi;2021-11-10 18:52:00;438.0;Crusader Kings 3;Grande Stratégie
Victoria 3 - Carnet XXII : Les concepts de la guerre;https://www.mundusbellicus.fr/605424-victoria-3-carnet-xxii-les-concepts-de-la-guerre;Limse;2021-11-10 16:47:00;410.0;Victoria 3;Grande Stratégie
Europa Universalis IV - Origins - Les Nouveaux Succès;https://www.mundusbellicus.fr/605419-europa-universalis-iv-origins-les-nouveaux-succes;AcidePrussique;2021-11-10 14:39:00;391.0;Europa Universalis IV;Grande Stratégie
Victoria 3 - Carnets XVIII à XXI : ... Aux conflits;https://www.mundusbellicus.fr/605392-victoria-3-carnets-xviii-à-xxi-aux-conflits;Limse;2021-11-09 11:00:00;285.0;Victoria 3;Grande Stratégie
Europa Universalis IV - Carnets de développement des 2 et 4 Novembre 2021;https://www.mundusbellicus.fr/605327-europa-universalis-iv-carnets-de-developpement-des-2-et-4-novembre-2021;AcidePrussique;2021-11-06 19:37:00;495.0;Europa Universalis IV;Grande Stratégie
Victoria 3 - Carnets XVIII à XXI : De la diplomatie...;https://www.mundusbellicus.fr/605289-victoria-3-carnets-xviii-à-xxi-de-la-diplomatie;Limse;2021-11-05 01:00:00;442.0;Victoria 3;Grande Stratégie
Builders of Egypt - Carnet de Développement #25;https://www.mundusbellicus.fr/605284-builders-of-egypt-carnet-de-developpement-25;Ancient Egypt Fan;2021-11-04 21:14:00;71.0;Builders of Egypt;Gestion
Humankind - Premier événement;https://www.mundusbellicus.fr/605260-humankind-premier-evenement;Mouchi;2021-11-03 20:23:00;248.0;Humankind;4X
Crusader Kings 3 : Est-ce une dague dans votre poche ?;https://www.mundusbellicus.fr/605250-crusader-kings-3-est-ce-une-dague-dans-votre-poche;Mouchi;2021-11-02 21:05:00;511.0;Crusader Kings 3;Grande Stratégie
Humankind - Mise à jour Fabius Maximus;https://www.mundusbellicus.fr/605186-humankind-mise-à-jour-fabius-maximus;Mouchi;2021-10-31 07:58:00;239.0;Humankind;4X
Hellish Quart : Père Zera, le moine fou;https://www.mundusbellicus.fr/605182-hellish-quart-pere-zera-le-moine-fou;Foeurdr;2021-10-31 04:27:00;84.0;Hellish quart;RPG
Builders of China - Carnet de Développement N°15;https://www.mundusbellicus.fr/605173-builders-of-china-carnet-de-developpement-n15;Ancient Egypt Fan;2021-10-30 19:27:00;63.0;Builders of China;Gestion
Viking City Builder - Carnet de Développement #5;https://www.mundusbellicus.fr/605172-viking-city-builder-carnet-de-developpement-5;Ancient Egypt Fan;2021-10-30 19:04:00;95.0;Viking City Builder;Gestion
Crusader Kings 3 : Mise à jour des Cultures;https://www.mundusbellicus.fr/605158-crusader-kings-3-mise-à-jour-des-cultures;Mouchi;2021-10-30 08:47:00;407.0;Crusader Kings 3;Grande Stratégie
Europa Universalis IV - Carnet de développement du 26 Octobre 2021;https://www.mundusbellicus.fr/605076-europa-universalis-iv-carnet-de-developpement-du-26-octobre-2021;AcidePrussique;2021-10-27 14:13:00;585.0;Europa Universalis IV;Grande Stratégie
Stellaris, carnet des développeurs n°229 : Paradox annonce, Stellaris Aquatics.;https://www.mundusbellicus.fr/605031-stellaris-carnet-des-developpeurs-n-229-paradox-annonce-stellaris-aquatics;Vilcoyote;2021-10-25 22:17:00;780.0;Stellaris;Grande Stratégie
Total War : Warhammer III - Mécaniques de campagne de Cathay;https://www.mundusbellicus.fr/605013-total-war-warhammer-iii-mecaniques-de-campagne-de-cathay;Lord Perhaps On The Roof;2021-10-24 21:34:00;272.0;Total War : Warhammer II;Total War
